"Figure 1. Temperatures in the Contiguous 48 States, 1901-2021",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2022",,,
Web update: July 2022,,,
Units: °F,,,
,,,
Year,Earth's surface,Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.15,null,null
1902,-0.43,null,null
1903,-1.4,null,null
1904,-0.86,null,null
1905,-1.02,null,null
1906,-0.29,null,null
1907,-0.54,null,null
1908,0.06,null,null
1909,-0.59,null,null
1910,0.4,null,null
1911,0.01,null,null
1912,-1.79,null,null
1913,-0.48,null,null
1914,-0.18,null,null
1915,-0.57,null,null
1916,-1.17,null,null
1917,-1.96,null,null
1918,-0.15,null,null
1919,-0.47,null,null
1920,-0.95,null,null
1921,1.78,null,null
1922,0.01,null,null
1923,-0.38,null,null
1924,-1.43,null,null
1925,0.5,null,null
1926,-0.07,null,null
1927,0.13,null,null
1928,-0.1,null,null
1929,-1.17,null,null
1930,-0.04,null,null
1931,1.52,null,null
1932,-0.29,null,null
1933,0.97,null,null
1934,2.08,null,null
1935,-0.12,null,null
1936,0.13,null,null
1937,-0.47,null,null
1938,1.16,null,null
1939,1.24,null,null
1940,-0.13,null,null
1941,0.64,null,null
1942,-0.18,null,null
1943,0.05,null,null
1944,-0.19,null,null
1945,-0.27,null,null
1946,0.93,null,null
1947,-0.1,null,null
1948,-0.41,null,null
1949,0,null,null
1950,-0.63,null,null
1951,-0.9,null,null
1952,0.25,null,null
1953,1.35,null,null
1954,1.31,null,null
1955,-0.33,null,null
1956,0.32,null,null
1957,0.02,null,null
1958,-0.09,null,null
1959,0.08,null,null
1960,-0.58,null,null
1961,-0.15,null,null
1962,-0.12,null,null
1963,0.24,null,null
1964,-0.35,null,null
1965,-0.33,null,null
1966,-0.53,null,null
1967,-0.26,null,null
1968,-0.7,null,null
1969,-0.52,null,null
1970,-0.41,null,null
1971,-0.36,null,null
1972,-0.65,null,null
1973,0.27,null,null
1974,0.24,null,null
1975,-0.52,null,null
1976,-0.55,null,null
1977,0.53,null,null
1978,-0.98,null,null
1979,-1.14,0.023906977,-0.847286047
1980,0.37,0.703406977,0.165963953
1981,1.1,1.076906977,0.662613953
1982,-0.68,-0.016593023,-0.610736047
1983,-0.14,0.005906977,-0.412586047
1984,-0.05,0.266906977,-0.254936047
1985,-0.72,0.085406977,-1.084286047
1986,1.3,1.193906977,0.726513953
1987,1.31,1.027406977,1.106013953
1988,0.61,0.670406977,0.545313953
1989,-0.18,0.523406977,0.215163953
1990,1.49,1.427906977,1.278363953
1991,1.14,1.006406977,1.028313953
1992,0.58,0.455906977,0.574563953
1993,-0.76,-0.202593023,-0.297986047
1994,0.85,1.016906977,1.076163953
1995,0.63,0.772406977,0.761913953
1996,-0.14,0.476906977,0.273513953
1997,0.18,0.431906977,0.402813953
1998,2.21,1.666406977,1.906863953
1999,1.86,1.771406977,1.892613953
2000,1.25,1.324406977,1.479963953
2001,1.67,1.229906977,1.539363953
2002,1.19,0.970406977,1.137813953
2003,1.24,1.198406977,1.472613953
2004,1.08,0.742406977,1.047813953
2005,1.62,1.276406977,1.579713953
2006,2.23,1.415906977,1.748463953
2007,1.63,1.736906977,1.864563953
2008,0.27,0.445406977,0.478563953
2009,0.37,0.497906977,0.579813953
2010,0.96,0.904406977,0.992913953
2011,1.16,0.986906977,1.096263953
2012,3.26,1.930406977,2.708763953
2013,0.41,0.623906977,0.684213953
2014,0.52,0.728906977,0.770763953
2015,2.38,2.204906977,2.559963953
2016,2.9,1.999406977,2.479713953
2017,2.53,2.219906977,2.365113953
2018,1.5,1.610906977,1.803213953
2019,0.66,1.094906977,1.197363953
2020,2.35,1.937906977,2.297463953
2021,2.49,2.024906977,2.496663953
