"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Abellaite","Abellaite","Spain"
"Abelsonite","Abelsonite","USA"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Canada"
"Abernathyite","Abernathyite","USA"
"Abhurite","Abhurite","Saudi Arabia"
"Abramovite","Abramovite","Russia"
"Abswurmbachite","Abswurmbachite","Greece"
"Abuite","Abuite","Japan"
"Acanthite","Acanthite","Czech Republic"
"Acetamide","Acetamide","Ukraine"
"Achalaite","Achalaite","Argentina"
"Achávalite","Achavalite","Argentina"
"Achyrophanite","Achyrophanite","Russia"
"Acmonidesite","Acmonidesite","Italy"
"Actinolite","Actinolite","Germany / Austria"
"Acuminite","Acuminite","Denmark (Greenland)"
"Adachiite","Adachiite","Japan"
"Adamite","Adamite","Chile"
"Adamsite-(Y)","Adamsite-(Y)","Canada"
"Adanite","Adanite","USA"
"Addibischoffite","Addibischoffite","Algeria (meteorite)"
"Adelite","Adelite","Sweden"
"Admontite","Admontite","Austria"
"Adolfpateraite","Adolfpateraite","Czech Republic"
"Adranosite","Adranosite","Italy"
"Adranosite-(Fe)","Adranosite-(Fe)","Italy"
"Adrianite","Adrianite","Mexico (meteorite)"
"Aegirine","Aegirine","Norway"
"Aegirine-augite","Aegirine-augite","Russia"
"Aenigmatite","Aenigmatite","Denmark (Greenland)"
"Aerinite","Aerinite","Spain"
"Aerugite","Aerugite","Germany"
"Aeschynite-(Ce)","Aeschynite-(Ce)","Russia"
"Aeschynite-(Nd)","Aeschynite-(Nd)","China"
"Aeschynite-(Y)","Aeschynite-(Y)","Norway"
"Afghanite","Afghanite","Afghanistan"
"Afmite","Afmite","France"
"Afwillite","Afwillite","South Africa"
"Agaite","Agaite","USA"
"Agakhanovite-(Y)","Agakhanovite-(Y)","Norway"
"Agardite-(Ce)","Agardite-(Ce)","Germany"
"Agardite-(La)","Agardite-(La)","Greece"
"Agardite-(Nd)","Agardite-(Nd)","Greece"
"Agardite-(Y)","Agardite-(Y)","Morocco"
"Agmantinite","Agmantinite","Peru"
"Agrellite","Agrellite","Canada"
"Agricolaite","Agricolaite","Czech Republic"
"Agrinierite","Agrinierite","France"
"Aguilarite","Aguilarite","Mexico"
"Aheylite","Aheylite","Bolivia"
"Ahlfeldite","Ahlfeldite","Bolivia"
"Ahrensite","Ahrensite","Morocco (meteorite)"
"Aikinite","Aikinite","Russia"
"Aiolosite","Aiolosite","Italy"
"Airdite","Airdite","Australia"
"Ajoite","Ajoite","USA"
"Akaganeite","Akaganeite","Japan"
"Akaogiite","Akaogiite","Germany"
"Akatoreite","Akatoreite","New Zealand"
"Akdalaite","Akdalaite","Kazakhstan"
"Åkermanite","Akermanite","Sweden"
"Akhtenskite","Akhtenskite","Russia"
"Akimotoite","Akimotoite","Australia (meteorite)"
"Aklimaite","Aklimaite","Russia"
"Akopovaite","Akopovaite","Kyrgyzstan"
"Akrochordite","Akrochordite","Sweden"
"Aksaite","Aksaite","Kazakhstan"
"Aktashite","Aktashite","Russia"
"Alabandite","Alabandite","Romania / Turkey"
"Alacránite","Alacranite","Russia"
"Alamosite","Alamosite","Mexico"
"Alarsite","Alarsite","Russia"
"Albertiniite","Albertiniite","Italy"
"Albite","Albite","Sweden"
"Albrechtschraufite","Albrechtschraufite","Czech Republic"
"Alburnite","Alburnite","Romania"
"Alcantarillaite","Alcantarillaite","Spain"
"Alcaparrosaite","Alcaparrosaite","Chile"
"Aldermanite","Aldermanite","Australia"
"Aldomarinoite","Aldomarinoite","Italy"
"Aldridgeite","Aldridgeite","Australia"
"Aleksandrovite","Aleksandrovite","Tajikistan"
"Aleksite","Aleksite","Russia"
"Aleutite","Aleutite","Russia"
"Alexkhomyakovite","Alexkhomyakovite","Russia"
"Alexkuznetsovite-(Ce)","Alexkuznetsovite-(Ce)","Russia"
"Alexkuznetsovite-(La)","Alexkuznetsovite-(La)","Russia"
"Alflarsenite","Alflarsenite","Norway"
"Alforsite","Alforsite","USA"
"Alfredcasparite","Alfredcasparite","Germany"
"Alfredopetrovite","Alfredopetrovite","Bolivia"
"Alfredstelznerite","Alfredstelznerite","Argentina"
"Algodonite","Algodonite","Chile"
"Alicewilsonite-(YCe)","Alicewilsonite-(YCe)","Canada"
"Alicewilsonite-(YLa)","Alicewilsonite-(YLa)","Australia"
"Aliettite","Aliettite","Italy"
"Allabogdanite","Allabogdanite","Russia (meteorite)"
"Allactite","Allactite","Sweden"
